sentence,label,label_name
"This film, was one of my childhood favorites and I must say that, unlike some other films I liked in that period The Thief of Bagdad has held on to it's quality while I grew up. This is not merely a film to be enjoyed by children, it can be watched and enjoyed by adults as well. The only drawback there is, is that one can not see past the bad' effects (compared to the effects nowadays) like one could when one was a child. I remembered nothing of those effects, of course it had been about ten years since I'",1,Positive
"My observations: Postwar hilarity. Tom Drake and Grandpa from ""Meet Me in St. Louis"" two years later (the year I was born). Donna Reed charming and pretty. Margaret Hamilton good as always; smaller part than in ""Wizard of Oz"". Spring Byington way prettier, also with the prerequisite perky small nose lacked by Hamilton. Tent scene at end with former boy next door was hilarious. As a two year veteran of Army tents, he looked pretty youthful and inexperienced when I looked into his eyes.<br /><br />I used to w",1,Positive
"In The Lost Son, a private eye searching for a missing man stumbles upon a child prostitution ring. This film incorporates all of the worst stereotypes you could imagine in a worst-case scenario that exists only in the minds of Hollywood, the press and AG John Asscrap. If you get a chance to see this, you'd be better off getting lost yourself.",0,Negative
"This is really a great unknown movie.Perfect dialogue without the typical clichés.This movie relied on the actor's talent and it was pulled off.It even had a little bit a comedy in it,but it wasn't overdone.Once in the Life is what a crime drama is supposed to be,not the typical special affects garbage with sex thrown in.I especially loved the interracial aspects of it all.<br /><br />Now onto the actors themselves. Laurence Fishburne was superb at playing a career petty criminal.It's a shame that he's only",1,Positive
"... You can't exactly shove her out of the way, because she's old; and if you were being charitable you might say that the ponderous gait she ambles along with isn't really her fault. Nevertheless, in these circumstances it's often difficult not to become irritated when you find yourself dragging your heels in her wake. So it is with ""The Pallbearer"", an attempt to do something 'different' with a romantic comedy that in this way is chiefly hamstrung because the venue is all wrong; sort of like showing off y",0,Negative
"In a word...amazing.<br /><br />I initially was not too keen to watch Pinjar since I thought this would be another movie lamenting over the partition and would show biases towards India and Pakistan. I was so totally wrong. Pinjar is a heart-wrenching, emotional and intelligent movie without any visible flaws. I was haunted by it after watching it. It lingered on my mind for so long; the themes, the pain, the loss, the emotion- all was so real.<br /><br />This is truly a masterpiece that one rarely gets to ",1,Positive
"No? Didn't think so! Well, in that case all you have to do is stay far, far away from ""Do You Wanna Know A Secret"", as it's just the umpteenth pointless post-""Scream"" slasher with absolutely no redeeming value whatsoever. The plot is extremely ridiculous; the characters are insufferably dumb, the gore-factor is negligible and the whole thing is just plain boring! As you can derive from the title already, this film is mainly inspired by ""I Still Know What You Did Last Summer"", as the events take place in a s",0,Negative
"Just think, it cost a total of $250,000 to make ""Clerks"". How the hell did they spend $45 Million to make this glorified music video? A practically unknown cast, two or three sets, no special effects that I could see... I know, it must have been spent on that expertly crafted, economical, tension filled screenplay. Shoot, that bar set must have cost a bundle. Anyway, I guess Jerry Bruckheimer wouldn't be caught dead producing anything for less. I'm just surprised he didn't blow up anything.<br /><br />Anywa",0,Negative
"""The sweet is never as sweet without the sour."" This quote was essentially the theme for the movie in my opinion. Tom Cruise plays a young man who was handed everything in his life. He takes things for granted and it comes around full swing in this great movie with a superb twist. This film will keep you engaged in the plot and unable to pause it to take a bathroom break.<br /><br />Its a movie that really makes you step back and look at your life and how you live it. You cannot really appreciate the better",1,Positive
"The extraordinary Rosemary Forsyth is the main reason to see this flick. Why she never became a bigger store may never be known. But she is exceptional and steals every scene she's in. Garson Kanin directed this piece of fluff and the cast is first rate, with Robert Drivas and Brenda Vaccaro especially memorable. A ""9"" out of ""10.""",1,Positive
"First off, I didn't know what to expect when I started the video.<br /><br />Anytime someone brings back a cult type movie genre and adapts it into the present, something gets inexplicably lost in the translation.<br /><br />That's not the case here. This movie just starts off on the right track. It's part familiar territory but manages to take it over the top as well. Crockzilla scene anyone? That has to be seen, and just try and keep a straight face. This movie takes some of the old fun cult movie classic",1,Positive
"Really. Does any week go by that Oprah doesn't remind us that she was abused as child?<br /><br />She makes herself the focus of every interview.<br /><br />Oprah cannot resist commenting on the answer to every question she asks. She often interrupts guests before an answer is finished to interject her own aside or anecdote. Directors are obviously instructed to focus on her closeup reaction rather than guest's faces because that's what counts - what Oprah feels, what Oprah says.<br /><br />Oprah, Oprah, Op",0,Negative
"I have to admit, this movie moved me to the extent that I burst in tears. However, I always think about things twice, and instead of writing a eulogy that would define the film as flawless and impeccable, I prefer taking the risk of a closer look.<br /><br />First what's first: The movie has an undeniable impact on the viewer simply because it starts out and continues as a slow-paced movie that doesn't try to blow you away with the actual scenes from 9/11. Thumbs up for this stroke of genius, because, unlik",1,Positive
"I just saw a press screening of this film and I was pleasantly surprised. Not often is it that I get to see all of my favorite actors in one film at one time.<br /><br />I really enjoyed the pick pocket scene and it was good to see Rachael Bilson and Hayden back together. I think their chemistry on camera is a direct result of their time together off camera. My favorite scene was by far (surprisingly so) Bret Ratner's piece... Without giving too much away, I'll just say that there is a surprise that leaves ",1,Positive
"I saw the long day's dying when it first came out at the cinema, I thought the film gave a good soldiers point of view, it gave a realistic account, of men at war. The storyline moves at a nice pace, showing a group of men behind enemy lines, and trying to return back to their own lines with an enemy prisoner. The characters are well developed, and believable.<br /><br />David Hemmings is a good actor and plays the leading role with conviction, as does Alan Dobie (as German Helmut) I was surprised, that i h",1,Positive
I saw this movie as a very young girl (I'm 27 now) and it scared me witless for years. I had nightmares about every aspect of this film from the way it was drawn to the music to (obviously) the violence. My parents still argue about who allowed me to watch it and both of them say that they would never let me watch such a movie. I think they only say that knowing that I have such strong feelings about it ;0) I am currently reading the book (out of morbid curiosity and the fact that it's a classic) and it is ,0,Negative
"This movie is awful. At the end of it you will realize that several hours have been stolen from your life that you can't get back. The ""twist"" ending is very contrived. The character development leading up to this ending is not consistent with their final actions at the conclusion. Ninety minutes of preparation-- with the premise that the Rob Lowe character will die on Christmas Eve-- is explained away in literally ninety seconds of ""No we were just tricking you."" Then the Rob Lowe character is not even ups",0,Negative
"Kris Kristofferson, at his drugged-out peak in the mid-70s, finds himself barely able to squeeze on to the screen alongside La Streisand's humongous ego and discount-store feminism.<br /><br />None of the characters are really likable; I was _so_ glad when Kristofferson's Ferrari went over that hill and crashed.<br /><br />If you want to see a good movie about rock and roll stardom, try _The Buddy Holly Story_ (made only about a year and a half after this dreck).",0,Negative
"Poorly written conspiracy drama/mystery about the possibility that AIDS was introduced to the public by the government. Wlaschiha plays a gay researcher looking for answers--that within this foggy plot would be hard for anyone to find. Despite the cinematography itself being commendable, the camera hungers for characters of true depth instead of the shallow, amateur acting it unfortunately has to convey. Grade: D+",0,Negative
"Short Version: Seed isn't worthless. It's just derivative and inferior. And soulless.<br /><br />Long Version: If you have never seen any of the films comprising the vaguely-defined ""psychological horror"" genre, this movie will probably melt your face off. Maybe not, but it will give you a good burn. The opening montage of real animal abuse will be sufficient to open your eyes to possibilities of brutality-on-video, and the (only) memorable gore scene later in the film will perhaps be more than you can hand",0,Negative
"This movie stars Emily Watson, of Breaking the Waves fame. This movie about one man's obsession takes place at a resort where a chess tournament is being held. A chess master arrives and shortly after falls madly in love (at first sight) with a woman, played by Emily Watson. She falls for this oddball of a man, who is obsessed with chess. This is all at the dismay of her mother, who is far more interested in seeing her with another young gentleman; a proper gentleman. Her mother feels that this is just a pa",1,Positive
"Note to self- just because a film is foreign, obscure, and stars Catherine Zeta-Jones doesn't mean it's any good. Such is the case with 'Blue Juice,' a 1995 Brit flick about an unlikely group of surfing enthusiasts in what would seem (to a dumb American, anyway) an even more unlikely place to find surfers: Cornwall, England. You might be thinking this has the makings for an amusing, quirky little comedy. If only. The film is just a bit over ninety minutes but it seems interminable. The easiest way to descri",0,Negative
"These slasher pics are past their sell by date, but this one is good fun.<br /><br />The valentine cards themselves are witty, and well thought out.<br /><br />The film has one Peach of a line... ""He's no Angel...."" when he in fact IS Angel!!! Watching Buffy reruns will never be the same!<br /><br />The cast is a sizzling display of young talent, but the story does not give them enough real depth. Denise Richards on the DVD extras seemed to think the girls on set bonded well together and this would give the",1,Positive
"Steve Biko was a black activist who tried to resist the white minority governed South Africa in much the same way as Gandhi tried to resist the British empire's colonialism in India. Richard Attenborough's film Cry Freedom is not about Biko or Apartheid as much as it is about Donald Woods, the white liberal newspaper editor who risked his life trying to tell Biko's story. The film has a jarring point of view switch after Biko dies in prison from tortuous behavior at the hands of South African ""police"". Wood",1,Positive
"foywonder's review of this cheap STV hits the nail squarely on the head. Make sure you read it. In case you don't, a group of scientists heads off into the deep woods of the Pacific Northwest, to fumble around with a bunch of bones in an animal graveyard. The Big Foot family doesn't take kindly to this, and proceeds to pick off the team one by one, largely offscreen. Big Foot himself has a distinctly ape-like face, but is less scary overall than Harry from HARRY AND THE HENDERSONS. Most of the movie has the",0,Negative
"One of the best documentaries released in recent years. Some points...<br /><br />1. Hugo Chavez was elected Venezuela's president in 1998, his support largely coming from the poorer regions of Venezuela.<br /><br />2. In 2002, a coup briefly deposed Chavez. At the time, Irish filmmakers Kim Bartley and Donnacha O'Briain were in Caracas, shooting a documentary about Chavez for British television. Their film deconstructs the coup and its aftermath, and electrifyingly records history unfolding on-the-spot, ou",1,Positive
"Mother Night is one of my favorite novels and going to see this I was expecting a huge disappointment. Instead I got a film that perfectly portrays the irony, humor, elequence, and above all else the crushing sadness of Vonnegut's novel.<br /><br />This is certainly Nolte's best preformance to date. He captures the defeat and selfloathing of Howard Cambell Jr. consistently from the subtle intonations of his speech to the held back tears behind his eyes.<br /><br />Alan Arkin is absolutly hilarious as George",1,Positive
"I watched this film a few times in the 90's and nearly split my sides laughing each time. I love Eddie Murphy as an actor, but this stand up is some thing else. He is SO funny. Even the P.C. brigade would find this hilarious. It's a must watch, and even better if you've got the guys or girls in for a drink. The take off of Michael Jackson is so like him, if you close your eyes you believe it's him singing. The things he describes are true to life and you would seriously have to have a humour bypass if you t",1,Positive
"This short film that inspired the soon-to-be full length feature - Spatula Madness - is a hilarious piece that contends against similar cartoons yielding multiple writers. The short film stars Edward the Spatula who after being fired from his job, joins in the fight against the evil spoons. This premise allows for some funny content near the beginning, but is barely present for the remainder of the feature. This film's 15-minute running time is absorbed by some odd-ball comedy and a small musical number. Un",1,Positive
"""What the Bleep Do We Know!?"" was one of the worst times I have spent at the movies. It was less of a movie and more of an after school special, but at the same time nothing special at all. The attempt at a narrative in which they grounded their ideas was absolutely pathetic, which almost anyone will tell you. Marlee Matlin in her underwear just shouldn't happen. I won't dwell on it. What I will reveal is a criticism that many are unable to formulate. This movie, while tedious, also suffered a tremendous fl",0,Negative
"Have you ever had a cool image in your mind that you thought it would be nice to be in a movie: Like seeing a detective peeking through the cracks of a broken fence of some abandoned house? Or seeing a woman walking down a street looking cold and intense and awfully alert? Yeah. Imagine stretching that image to a whole movie, you pretty much got the idea of Broken, though there's no detectives in this movie, I'm just using it as a visual example. But, the intense looking woman is here and she filled pretty ",0,Negative
"> What a dud. It began with some promise, then became unfocused and > wandered. John Cusack's Cajun accent was laughable, Bridget Fonda's role > existed only to get a skirt into the film, and Pacino did Pacino. His entire > generation of actors -- Nicholson, Hackman, Caine, Hoffman -- have developed > a standard performance that each can deliver effortlessly (or, less > charitably, ""mail in"") in their paycheck films. This was > one. >",0,Negative
"Isabelle Huppert is a wonderful actor. The director of ""La Pianiste"" understands this, providing the viewer with long takes of Huppert's face, and these are a pleasure to see. Huppert is not an animated actor--she registers emotion with the smallest lift of an eyebrow or flicker of a smile.<br /><br />Other than the enjoyment of watching an experienced actor excel in her profession, there is nothing in this movie that makes me want to recommend it. (Well, if you enjoy self-mutilation, sado-masochism, and bi",0,Negative
"Without question, the worst ELVIS film ever made. The movie portrays all Indians as drunk, stupid, and lazy. Watch ELVIS's skin change color throughout the film.",0,Negative
he was my hero for all time until he went along with {if you can call it a movie} I went to the show to watch it and come out and not just asking for me money back but asked for double the money thats how bad my hero's acting and the hole thing was.............I can't believe that Steven Segal's career has hit so low that he has been reduced to making 4th rate films with 5th rate secondary actors. I watched this moving expecting to see him beet the crap out of some people the way he usually does. When he is,0,Negative
"Why did the histories of Mary and Rhoda have to be so dour? Divorced women with indifferent daughters. And why very little reference to the original show and characters? The daughter characters were silly and uninteresting. Why can't there ever be daughters who like their mother's on TV? It makes sense that Mary would leave Minneapolis, and Rhoda would return to NYC, but why couldn't Phyllis or Sue Ann Nivens be guest stars? It just seems a pitiful way to remember such wonderful characters. It was good to s",0,Negative
"This movie is being shown over and over on cable lately, so..<br /><br />There is no excuse for these 2 attractive women to fight over either Luke Wilson or the equally vapid 'villian' in this movie. The female actresses are very cute, and that's the only reason to watch this movie. I suppose it is 'funny' that Luke's even uglier/dorkier/stupider friend is around, but well, that is what we get.<br /><br />Neither of the female leads would ever, EVER talk to any of the males in this movie for more than 5 min",0,Negative
"I personally liked this movie and am alarmed at the rating's some people have given it. It is a movie based on a comic book and it is animated, now if you don't like comic books or animation then of course you won't like this movie so why did you watch and bother to rate it is beyond me. Though, if you are a fan of Interesting, strong characters and heroic(sexy) women kicking butt and saving the world(hell) you will love this movie. I thought the story really pulled me in and it was a very cool movie. Quite",1,Positive
"The ""Trivia"" page on IMDb claims the filmmakers protested because this film was re-cut by the studio to ""simplify the plot"". If so, that effort was a total failure, as this is one of the most incoherent narratives I've ever seen in a film -- I'd hate to have seen it before the plot was ""simplified.""<br /><br />It's sad to see Warren with so little character to go on that even he can't do anything with the inept material. It's interesting to see Caron in '70s mode instead of her Hollywood-era glamour garb an",0,Negative
"I can't figure Al Pacino out. I watch him in the Godfather, Scarface, Carlito's Way, and I think I am watching one of the greatest actors of the last thirty years. Then I see him in Two for the Money, Any Given Sunday and Revolution, and I wonder what the guy is thinking.<br /><br />I stumbled on Revolution a few nights ago, and thought I would invest the next two hours on this. Here is a news flash: Want to get prisoners to talk? Force them to watch this over and over...they'll confess to anything.<br /><b",0,Negative
"Peter Ustinov plays an embezzler who is just getting out of prison when the film begins. As soon as he walks out the gates, he immediately begins working on a scheme to once again make a bundle by stealing, though this time he has his sights set pretty high. This is actually one of the weak points about the film, as he apparently knows nothing about computers (few did back in 1968) but manages to become a computer genius literally overnight! Yeah, right. Anyway, he comes up with a scheme to impersonate a co",1,Positive
"As we all know Hollywood enjoys changing historical events around for our enjoyment, and 44 minutes is one of those hollywoodized movies. For example the bank robbers never did go back in the bank when they started shooting at the LAPD yet in the movie we see them go back inside twice! Another example is the number of LAPD officers who were shot near the end of the movie, this is far from the truth! But of course Hollywood must have a good bloody ending so they *add* some more blood and guts. Some events we",0,Negative
"I saw this movie after i saw Blue Crush and other of Michelle's movies, i thought she had a bleak future in this business.I was extremely wrong after watching her performance in ""Girlfight"" i was amazed in the way she captures the emotion of one a fighter, but also a warrior.In this movie the way she confronts her father about the treatment of her and her brother, the way she conveys anger when getting hit.Her characters learning curve in the movie of she cant always put up a wall and hide from love, or tha",1,Positive
"My husband is a huge Robin Williams fan. I like him too, but have generally found that he should ""stick to what he does best"" and focus on comedic roles. My thoughts were confirmed with this movie. I was completely bored throughout the entire film. The story was predictable. I realize it was inspired by a true story. But, my guess is that there could have been some suspense or intrigue even while maintaining truth in the story. None of the characters were well developed. There was a side story about the mai",0,Negative
"The first scene in 'Problem Child' has a baby peeing into a nun's face. For this movie, that's witty. A nasty, mean-spirited 'comedy', it's inept on so many levels it beggars belief. John Ritter is the kind father who adopts the child from Hell, and kudos to him for maintaining his dignity in the surrounding onslaught of one-note, annoying performances and puerile humour. And what the hell's Jack Warden doing in this mess? Slackly directed by Dennis Dugan and obnoxious in its attempts to turn on the sentime",0,Negative
"I barely remember this show, a little ,but I remembered it was great! My eldest brother, reminded me about the show recently and I had seen an advertisement for the D.V.D set coming out. The network, again screwed up in pulling this from the air, so that they could put what else in it's place? It should have gone at least 3 seasons. Why not, right? I think sometimes that the network executives think they are the 'gods' of the entertainment world. But they mis-guess and flat out miss good show placement from",1,Positive
"Fantastic Mr. Fox is a comedy based on the classic Roald Dahl book. Wes Anderson directs, and respectably takes the short book of the same name to the big screen in a full length film. While I respect what Anderson, an incredibly talented man did, the film seemed to have gotten lost in its own clever spirit. Anderson seems to have left the story behind knowing that he is a talented man, and if this happened to be a bad film, it would be his first bad film. Just like when you go to school and have your first",0,Negative
